id,name,normalised_name,aliases
1390af58-542d-3197-bf5b-0dbd9ab13c00,Darko Dimitrov,darko-dimitrov,{'Darko Dimitrov'}
13992b82-2bcd-3cc8-8178-e83464b3b4fb,Ura Vlaic,ura-vlaic,{'Ur\x9aa Vla\x9aic'}
13a51fc3-e487-38d4-a1c0-7363dbc5dc4b,Mark Caplice,mark-caplice,{'Mark Caplice'}
13dbbaf9-c02e-3e03-a85d-d737aa6c0211,Magazin and Lidija,magazin-and-lidija,{'Magazin and Lidija'}
13e238c2-492b-3520-8992-22f1b75bf98d,Xandra,xandra,{'Xandra'}
140e12d3-2b74-337c-bcc4-08b63b34250c,Canan Tunç,canan-tunc,{'Canan Tunç'}
141daa8a-8c73-33a3-bdaf-948d910d8f78,Marlayne,marlayne,{'Marlayne'}
143feecc-6824-3eee-8866-b1231b689dcb,Guilherme Inês,guilherme-ines,{'Guilherme Inês'}
145cb8c2-8fd4-39dd-bf8b-611a75d27c22,Ferenc Balázs,ferenc-balazs,{'Ferenc Balázs'}
147595b5-4151-37b9-8a92-f908ef2e6448,Nikola Paryla,nikola-paryla,{'Nikola Paryla'}
147ede3c-20f1-3e92-8474-e5418b06be98,Helmut Frey,helmut-frey,{'Helmut Frey'}
14801ccc-91dd-3eff-80c6-469b2d390c29,Simone Vallauris,simone-vallauris,{'Simone Vallauris'}
1485b8a0-c342-32ea-b4b1-fb60661f945b,Lars A. Fredriksen,lars-a-fredriksen,{'Lars A. Fredriksen'}
14951147-400c-3635-af98-ea6c01cbc90f,Bernard Liamis,bernard-liamis,{'Bernard Liamis'}
14aaad8b-2129-34a3-a11d-711397bb3e32,Onno Tunç,onno-tunc,{'Onno Tunç'}
14c1456f-db91-3389-a8e1-614a0f8a8019,José Maria Guzmán,jose-maria-guzman,{'José Maria Guzmán'}
14dc78fa-985c-39ce-b4e1-6a5416a8909b,David Kreuger,david-kreuger,{'David Kreuger'}
150efcc3-fa3c-3911-bd98-67ad949d7b7c,Sabahudin Kurt,sabahudin-kurt,{'Sabahudin Kurt'}
153a29b7-202c-3900-af71-bf7e160267ba,Stav Beger,stav-beger,{'Stav Beger'}
15573b1c-01bc-3b68-9023-70e6cfdf012a,Rainy Day,rainy-day,{'Rainy Day'}
156c7959-a7b6-305a-892e-28968e1fd578,Amila Glamocak,amila-glamocak,{'Amila Glamocak'}
15821dad-c550-3175-9214-b0261352df77,Michel Eric,michel-eric,{'Michel Eric'}
15897dbb-89b6-3561-a664-17f30dd45ef5,Gerhard Markel,gerhard-markel,{'Gerhard Markel'}
1594d831-e166-35eb-940d-ec81a6f11a75,Sertab Erener,sertab-erener,{'Sertab Erener'}
15b68cd1-9655-303a-b2ad-8da8c43ea768,Peter de Wijn,peter-de-wijn,{'Peter de Wijn'}
15ca2565-80fb-3136-beab-bf79d2baa4d4,Daniël Nelis,daniel-nelis,{'Daniël Nelis'}
15e70b1a-b745-3a16-a2be-29b1ea02ebd0,Claes-Göran Hederström,claes-goran-hederstrom,{'Claes-Göran Hederström'}
15f06a1c-085e-36ec-afce-11a897d9ab75,Kaija,kaija,{'Kaija'}
162aa871-a2c8-3cc0-8708-e1226ba16e65,Maarja-Liis Ilus,maarja-liis-ilus,{'Maarja-Liis Ilus'}
1647e13b-5447-34fa-8232-44fee8c73636,Beyond51,beyond51,{'Beyond51'}
164c428a-5055-395f-81a2-318193cfc2c0,Freaky Fortune,freaky-fortune,{'Freaky Fortune'}
165259fd-5560-3dc5-bffc-de2818a4f13a,Kiev Connolly,kiev-connolly,{'Kiev Connolly'}
